Image,Project,Repo
tomcat:10.1.13-jdk17,"C3DC, CTDC","CCDI-C3DC-Backend (1.0.0), crdc-ctdc-backend (mvp)"
nginx:1.25.2,"C3DC, CCDI-HUB","bento-c3dc-frontend (1.0.0), CCDI-Portal-WebPortal (2.1.0)"
node:slim,CDS,bento-files (cds-multistage)
nginx:1.25-alpine,CDS,bento-cds-frontend (4.1.0)
node:18.18.2-alpine3.18,CRDC-DH,"crdc-datahub-authn (2.1.0), crdc-datahub-authz (2.0.0), crdc-datahub-backend (2.0.0)"
nginx:1.25.3-alpine3.18-slim,"CRDC-DH, CTDC","crdc-datahub-ui (mvp-2), crdc-ctdc-ui (mvp)"
node:16.20.2-alpine3.18,"CTDC, ICDC","crdc-ctdc-authn (CTDC-1205), crdc-ctdc-files (main), bento-files (2.3.1)"
node:16.17.0,GMB,"bento-auth (master), bento-files (main)"
tomcat:9.0.80-jdk11-temurin-jammy,GMB,gmb-backend (develop)
nginx:1.23.3-alpine,"GMB, ICDC","bento-gmb-frontend (bento-release-4.0.0-develop), bento-icdc-frontend (v4.0.0)"
node:16-alpine3.11,GMB,bento-users (master)
tomcat:10.1.15-jdk17,CCDI-HUB,CCDI-Portal-WebService (2.1.0)
tomcat:9.0.83-jdk11-temurin-jammy,ICDC,bento-icdc-backend (14.8.1)
node:16.17.0-alpine3.16,ICDC,bento-icdc-interoperation (idc-tcia-down-test)
openjdk:11,MTP,ccdi-mtp-backend (2.0.0)
rocker/r-ver:4.1.0,MTP,PediatricOpenTargets/OpenPedCan-api (main)
